creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-01 08:18:10+00:00,2025-06-26 09:21:55+00:00,黃山料,iam_3636,26121333164175600,26121333164175599,82,14422.0,509033.0,"2024再見

曾經糾纏的人，
不再聯絡已是最好的結果。

當人過得很好的時候，
真的可以原諒很多事情。

祝福你順利克服自己的課題，
再見，我已經畢業了。

😊新年快樂

·

2025年新書 《 #把日子慢慢變好 》",10.01,{'0': '1405375394659153'},2025-01-01 16:18:10+08:00,2025-06-26 17:21:55+08:00,DERqQsWTLP_,Yes,Instaloader
2025-01-02 11:57:32+00:00,2025-08-02 11:55:01+00:00,黃山料,iam_3636,1439365647842304,1439365647842304,87,34614.0,1049401.0,"只有不想失去你的人，
才會願意主動與你解決問題。

不解決問題的人，
就代表失去你也沒有關係。

他也許在乎你，
但遠遠有更多比你更重要的，
比如自由，
或自尊心。

·

2025年新書《 #把日子慢慢變好 》已上架誠品書店",10.06,{'0': '1405375394659153'},2025-01-02 19:57:32+08:00,2025-08-02 19:55:01+08:00,DEUoLzbTGVH,Yes,Instaloader
2025-01-05 12:20:26+00:00,2025-07-03 09:08:22+00:00,黃山料,iam_3636,3248411088663412,3248411088663412,188,20318.0,608379.0,"自信的人，是被愛出來的。

如果一個人給了你足夠的愛，你自然會安心的在他面前展現各種性格，但如果一個人不愛你，你就只能有一種性格，就是小心翼翼、百般配合。甚至連你的成熟懂事他都嫌棄。
 
自私的人，要你配合他的情緒、符合他的要求，你只要有一點意見，那就是你的問題。

這個世界上有人要你聽話、要你服從、要你沒有情緒，也有人要你漂亮，或要你的錢，但也一定有一個真正愛你的人，只要你開心就好。
 
如果遇見對的人，你會發現你越來越喜歡「和他相處時候的你自己」，你變得更自信、更愛笑、性格越來越可愛。
 

 
.
 
.
 
.
 
2025年新書 《 #把日子慢慢變好 》
已經上架誠品書店，台灣、香港、馬來西亞都有。
我的書都不會封膜，歡迎讀者們到誠品書店走走，可以免費閱讀。",71.33,{'0': '1405375394659153'},2025-01-05 20:20:26+08:00,2025-07-03 17:08:22+08:00,DEcY2XYzQ53,Yes,Instaloader
2025-01-07 12:25:17+00:00,2025-06-26 09:21:28+00:00,黃山料,iam_3636,830449706707448,830449706707448,33,6277.0,375810.0,"他離開了你，並非帶有惡意，
他也只是盡己所能的在面對自己的課題，

他選擇冷處理、不解決問題，
也許不是故意要傷害你，
他只是能力不夠、沒有學會愛的能力。
那些都只是他自己的課題。

而被冷漠以待的你，
也只能盡己所能的，
去消化你因為遇見他，而發現的課題。

·

2025年 新書 《 #把日子慢慢變好 》 已上架誠品書店，我的書都不會封膜，歡迎到誠品書店翻閱😊",11.3,{'0': '1405375394659153'},2025-01-07 20:25:17+08:00,2025-06-26 17:21:28+08:00,DEhiff1zhFx,Yes,Instaloader
2025-01-08 10:39:21+00:00,2025-08-01 09:43:15+00:00,黃山料,iam_3636,1602601217440394,1602601217440394,43,28759.0,992751.0,"吵架不會把感情吵散，
冷漠才會讓一段感情走散。

願意主動解決問題的兩個人，
就永遠不會錯過。

願意擁抱彼此情緒的兩個人，
就永遠不會走散。

所謂對的人，
是願意為彼此調整，我們共同成長。

·

2025年新書《 #把日子慢慢變好 》 已上架誠品書店",10.53,{'0': '1405375394659153'},2025-01-08 18:39:21+08:00,2025-08-01 17:43:15+08:00,DEj79pYTXyP,Yes,Instaloader
2025-01-09 11:27:56+00:00,2025-07-21 14:38:06+00:00,黃山料,iam_3636,1396266742280739,1396266742280739,76,22638.0,849649.0,"愛情不是互相消耗，
而是互相給予能量。

我們因為擁有彼此，
而有了把生活變好的力量。

因為有你，未來萬難我再也不怕，
我有了更多勇氣面對人生難題，

因為我知道，
被誤解了也有你可以懂我，
累了有家可以回，
所以外面的聲音也就不再重要。

我們互相成就，
支撐彼此向前走的動力。

·

2025年新書
《 #把日子慢慢變好 》已上架誠品書店！",12.0,{'0': '1405375394659153'},2025-01-09 19:27:56+08:00,2025-07-21 22:38:06+08:00,DEmmVw_zgKr,Yes,Instaloader
2025-01-12 12:31:18+00:00,2025-06-26 09:21:17+00:00,黃山料,iam_3636,924323516945217,924323516945217,127,12110.0,498470.0,"選擇伴侶，選的並不是外表，
而是在挑選「我喜歡怎樣的生活方式」
 
跟誰在一起，其實是對未來理想生活的投射。如果我們交往，雙方都會因此變得更好、過更好的生活，那才會有交往的動力。
 
好的外表可以讓你擁有更多的機會，
但是否能延續，其實是雙方渴望的生活方式是否契合。
 
你不可能跟一個長相好看，
卻對你情緒暴力的對象白頭偕老。

也不會因為他長相好看，
就和他過上你不喜歡的生活。
 
很多人會期待遇到一段戀愛，讓生活變得有趣，但你可以先讓自己變成一個有趣的人，讓人想靠近的人。讓別人覺得，和你一起日子可以更好、生活更有趣。
 
你是正向的磁場，會吸引到正向的人，
志同道合、物以類聚。
同樣興趣、品味相似的人會互相吸引，
一個沒意思的人，也會吸引來無聊的人。
 
《把日子慢慢變好》書裡寫說：如果你單身，先培養自己的興趣、擴充腦子裡的知識、投入熱愛的事業等等，這些累積你身上的元素，都暗藏著「未來你會遇見誰、和誰聊得來、產生火花」的伏筆。
 
換了很多對象、遇見許多人，你一定想過「怎樣才是對的人？」其實很多時候我們都搞錯了，重點不是他的條件怎麼樣，而是先釐清我的需求是怎麼樣？
 
把你一個人的日子過明白了，
自然就會明白你適合跟怎樣的另一個人過日子。
唯一原則，就是「先讓自己變好」，變得有得挑、有得選。
 
.
 
.
 
2025年新書《 #把日子慢慢變好 》已上架「誠品書店」，台灣、香港、馬來西亞都上架了。我的書都不會封膜，歡迎各位到書店走走、閱讀。",84.53,{'0': '1405375394659153'},2025-01-12 20:31:18+08:00,2025-06-26 17:21:17+08:00,DEub0W0vAC0,Yes,Instaloader
2025-01-19 13:20:49+00:00,2025-08-06 17:23:43+00:00,黃山料,iam_3636,904609455771482,904609455771482,314,23842.0,1259971.0,"你越真誠，就能越清楚「誰不真誠」
當你真誠的主動邀約、真誠的交心，
若他無法回應你同等的主動與真誠，
就代表他對你不是認真的。
 
那些因為你的真誠，而迴避你的人，
也許於心有愧的離開，也許感到壓力而離開，
其實都是命運在替你擋災，
 
因為不真誠的人，如果強行在一起，
也只會替你的人生製造更多的消耗。
 
真正值得你珍惜的人，不會迂迴，不會省話，
不會不明不白與忽冷忽熱，
兩個真誠的人，會雙向的主動靠近。
 
.
 
.
 
2025年新書《 #把日子慢慢變好 》，已上架「誠品書店」，台灣、香港、馬來西亞都有。作者 #黃山料 。",82.77,{'0': '1405375394659153'},2025-01-19 21:20:49+08:00,2025-08-07 01:23:43+08:00,DFAjDKDTOed,Yes,Instaloader
2025-01-26 12:27:03+00:00,2025-08-05 14:16:35+00:00,黃山料,iam_3636,1572846687316764,1572846687316764,124,13347.0,728492.0,"「對伴侶說教」，會殺死一段感情。
在愛裡，我們想得到的是被鼓勵，
是被支持，而不是「被教育」。
 
自己的缺點，自己都懂，用不著你來說，
————「我已經知道我有問題了，我想找個地方躲一躲，我以為你是我能安心棲息的避難所，但面對你，卻時時刻刻提醒著我的糟糕。跟你相處，我總覺得我一無是處。」
 
對的人，會讓你越相處越有自信，你得到的是尊重，是肯定，是正向的能量，是被他成就。
 
錯的人，會讓你越相處越是自我懷疑，你得到的是質疑，是否定，是負能量，是被他消耗。
 
有的人，
你跟他訴說你的煩惱，煩惱會加倍。
你跟他分享你的快樂，快樂會消失。
 
他們以愛之名的批評指教，
在乎著你的缺點，卻不在乎你快不快樂。
 
遇上這種人，為避免精神耗弱，先逃命最要緊！
 
.
 
.
 
2025年新書《 #把日子慢慢變好 》
作者 #黃山料",81.2,{'0': '1405375394659153'},2025-01-26 20:27:03+08:00,2025-08-05 22:16:35+08:00,DFSekMSTCoQ,Yes,Instaloader
2025-01-30 09:29:27+00:00,2025-02-17 02:58:36+00:00,黃山料,iam_3636,1296146288988856,1296146288988856,46,7477.0,423879.0,"一年結束了，
其實你做得很好了，

一切不盡如人意，
但一切都有盡力。

新的一年，
好好過日子，
一切自有安排。

·

😎💛 新年快樂

·

作者 #黃山料 
2025年新書《 #把日子慢慢變好 》",12.5,{'0': '1405375394659153'},2025-01-30 17:29:27+08:00,2025-02-17 10:58:36+08:00,DFcdOFqzjx9,Yes,Instaloader
