creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-01 05:57:02+00:00,2025-02-17 01:35:04+00:00,小象愛出門,elephant_gogo,2021887901713968,2021887901713968,71,4731.0,231110.0,"跟台灣時差13小時的秘魯！
終於一起到 2025 啦🥳

在秘魯要怎麼跨年呢？

1. 先穿黃色的衣服 
黃色是太陽的顏色，是他們的幸運色
所以過年時穿黃色的衣服會帶來好運氣

2. 準備 12 顆葡萄
葡萄是新年吉祥物（跟之前西班牙殖民有關）
晚上跨年倒數後，一邊許願邊吃掉葡萄！
聽說順利吃完的
單身的就可以脫單
戶頭沒錢的可以發大財
很衰的走路不會踩到💩

2025 一切事事順心 ！！祝大家新年快樂 🎉

#cusco #cuscoperu #cuscoperú #2025 
#happynewyear",52.43,,2025-01-01 13:57:02+08:00,2025-02-17 09:35:04+08:00,DERZntFOqrL,Yes,Instaloader
2025-01-02 14:08:13+00:00,2025-02-17 01:35:04+00:00,小象愛出門,elephant_gogo,1216169403405021,1216169403405021,25,2050.0,151856.0,"110天極限之旅｜第18站 巴拿馬 🇵🇦

很多朋友跟我說巴拿馬什麼好玩的嗎
當然大多數都是來這邊工作過的朋友哈

巴拿馬除了超級有錢跟運河
其實他們的經濟治安環境也都很厲害
我在這邊出了一台車一路從北邊的城市開到巴拿馬城
連租車公司都說：你怎麼沒去Boquete?

那是巴拿馬最美的地方還有藝妓咖啡！
總之我就安排了一大堆巴拿馬小小之旅

🌟留言最想去哪+私訊我！
我把巴拿馬旅遊 Google 清單傳給你

🌟哈巴拿馬必做的十件事

1. 藝妓咖啡 Elida Estate Coffee
2. 神秘瀑布 Las Tres Cascadas
3. 衝浪天堂 Panama Surf School
4. 巴拿馬運河 
5. 巴拿馬Old City
6. 買巴拿馬帽 
7. 吃 ceviche Marea Casco Ceviche and Latin Food
8. 開小飛機 Mag Flight Training
9. 吃在地巴拿馬自助餐
10. 火焰酒吧",64.93,,2025-01-02 22:08:13+08:00,2025-02-17 09:35:04+08:00,DEU3CU6ONDW,Yes,Instaloader
2025-01-04 13:04:39+00:00,2025-05-29 14:31:48+00:00,小象愛出門,elephant_gogo,891855553598199,891855553598199,14,1872.0,150563.0,"110天極限之旅｜第19站 san Blas 

加勒比海 San Blas 群島之旅
這裡是世上最美、最受保護、最偏遠的地方之一

泛美公路在巴拿馬有個缺口沒辦法接上
為了抵達哥倫比亞🇨🇴但又不想坐飛機
所以我找到一個超酷的快艇行程
四天三夜時間費用大概五百多美金
橫跨整個加勒比海！跳島 San Blas 

第二天還碰到大浪！
直接從四天變成五天之旅！

這幾天完全與世隔絕
每天都不確定目的地在哪？也不知道到底跨了幾個島

跟一群來自世界各地完全不認識的旅人
天天穿泳衣泡在海水裡，從陌生人變成好朋友❤️
幾乎沒網路、沒電、沒熱水，晚上睡吊床

一島一家的古納人招待我們住宿
嚮導們三餐準備不一樣的美食
喝著啤酒！玩著大地遊戲！

雖然這五天太陽曬到我都紫外線過敏了
但能認識一群有趣的人一切都值得了！

接著我們就從巴拿馬抵達哥倫比亞Capurganá 嘍！

我參加的Tour @sanblasadventures 真的超讚
如果大家想來體驗也可以找他們❤️

#sanblas #sanblasislands #sanblaspanama #solotravel #solotraveler #panama",87.0,,2025-01-04 21:04:39+08:00,2025-05-29 22:31:48+08:00,DEZ5YiQK7po,Yes,Instaloader
2025-01-05 13:01:25+00:00,2025-02-17 01:35:04+00:00,小象愛出門,elephant_gogo,1317841913694617,1317841913694617,100,18001.0,580745.0,"110天極限之旅｜第20站 飛機Airbnb

你有住過一整台廢棄飛機打造成的Airbnb嗎？
一晚只要129美金你就能包下一整台飛機（房東還會煮飯給你吃哈哈哈）

位在哥倫比亞的叢林裡！隱藏了一台小型客機
老闆直接把它改頭換新變成民宿 @icaroretreat 

飛機內五臟俱全！
有客廳跟超大貴妃沙發、電視、雙人大床
要尿尿又不擔心！上廁所都有保留下來
外面也有露天淋浴間（淡水是冷的哈哈）
但另一邊有按摩浴缸可以泡熱水澡啦
還有贈送一整瓶紅酒根本划慘了❤️

大家應該知道峇里島知名度飛機Airbnb
一晚要價大概2500-3000美金超貴！
這邊一晚只要129美金！便宜二十倍哈

真的完成我住飛機的心願了！！

🌟 要Airbnb 住宿連結的留言+私我啦
記得要私我我才能傳給你
不然就從IG tag 應該也搜尋的到

#columbia #columbiatravel #medellin #medellín #solotravel #pilot #pilotlife",73.98,,2025-01-05 21:01:25+08:00,2025-02-17 09:35:04+08:00,DEcdzNmuD09,Yes,Instaloader
2025-01-07 11:52:44+00:00,2025-02-17 01:35:04+00:00,小象愛出門,elephant_gogo,1407262847808551,1407262847808551,18,2065.0,167484.0,"110天極限之旅｜第21站 哥倫比亞🇨🇴

哥倫比亞真的是我在中南美
不得不說見到最多帥哥的國家！！

今天要跟著小帥哥一起前往
「全世界最危險地方」
哥倫比亞麥德林城第 13區

這邊曾經是貧民窟
知名大毒梟 艾斯高巴 以此為大本營
長達二十多年！！

「每天都有命案發生，到處都有人死亡。警察從來不出現他們根本不敢過來…….」

現在卻變成麥德林青年們最愛的地方
擁抱愛 擁抱和平 擁抱藝術
還有一堆好吃的街頭小吃！！
還有一座385公尺的電梯改善居民生活方便，已經完全變成著名的嘻哈和街頭藝術中心！！

會危險嗎？我覺得在這邊超安全欸哈哈",66.78,,2025-01-07 19:52:44+08:00,2025-02-17 09:35:04+08:00,DEhfr9-u8Y-,Yes,Instaloader
2025-01-08 12:41:27+00:00,2025-02-17 01:35:04+00:00,小象愛出門,elephant_gogo,1299891595308375,1299891595308375,92,5312.0,231835.0,"The scariest hotel in the world！
全世界最可怕的飯店😱😱😱

send this to the person you want to stay here with !
傳給那些你想一起來體驗住的人@starlodgeperu 

#earthpix #peru #skylodge #travelperu #starlodge #uniquehotels #besthotel #roomtour #adventuretravel",12.67,,2025-01-08 20:41:27+08:00,2025-02-17 09:35:04+08:00,DEkJQG8uxdG,Yes,Instaloader
2025-01-09 13:19:38+00:00,2025-06-16 16:39:33+00:00,小象愛出門,elephant_gogo,1979687202583786,1979687202583786,50,5793.0,309201.0,"110天極限之旅｜第22站 懸崖飯店🇵🇪

全世界最可怕的飯店！！
你敢睡在山崖峭壁上嗎？

秘魯知名 @skylodgeperu 與 @starlodgeperu 
住上一晚就要價415美金以上😱

這次我住的是新的STARLODGE 
含攀岩體驗總共485美金

先來體驗超恐怖攀岩
住skylodge 的竟然要從這邊爬上去睡覺
我爬到一半就後悔，真的超恐怖！
最後還要放攀岩繩下山！

好加在我住的STARLODGE 只需要登階
但安全設備一樣要穿戴好
這有專屬山景木桶澡堂
還有自己的高級廁所與淋浴間！
邊泡澡邊欣賞印加聖谷跟印加火車

可是！
要睡覺還是要走上2900米的峭壁吊艙！！

#skylodge #starlodge #peru ##adventuretravel",79.32,,2025-01-09 21:19:38+08:00,2025-06-17 00:39:33+08:00,DEmy5AHu2Wx,Yes,Instaloader
2025-01-10 13:35:25+00:00,2025-04-03 22:11:03+00:00,小象愛出門,elephant_gogo,768929989597691,768929989597691,112,18884.0,678084.0,"懸崖吊艙能住人嗎？裡面有什麼呢！！！

應觀眾要求內部介紹～這不就來了嗎
真的拍到第三部也是蠻猛的🤣

房間內部最多可以睡到四個人！
裡面有廁所，還是沖水馬桶！！也有洗手台
旁邊有茶包、熱水等等
但攀繩有體重限制的喔！我記得是120公斤

我的費用包含晚餐早餐還有泡澡🛁
早餐跟晚餐超級豐盛豪華，還有提供紅白酒
只能說根本五星享受！！

@starlodgeperu @skylodgeperu #perutravel #perutravel #airbnb #airbnbexperience 

再次聲明此非業配邀約哈哈",71.47,,2025-01-10 21:35:25+08:00,2025-04-04 06:11:03+08:00,DEpZAabuTmr,Yes,Instaloader
2025-01-12 12:10:59+00:00,2025-02-17 01:35:04+00:00,小象愛出門,elephant_gogo,1593614108564609,1593614108564609,50,1491.0,181930.0,"出國最重要的是什麼?! 
網路啊啊啊啊！！

我這趟110天 15 個國家！
全程都是用 <redacted_mention> eSIM 流量吃到飽網路

目前使用下來網路都很夠用
但是！如果進入深山或偏遠地區
這種連當地網路都吃不到的地方
真的沒辦法還是可能沒訊號啊！

建議大家！！
如果一個國家待比較久的話也是可以買個實體卡
那種可以打電話的以備不時之需！
但對我來說使用 Holafly eSIM 在飛機上還沒下機前，就能打開手機用網路～讓我無比安心的啊

農曆春節要出國快買！

💡 要連結的來留言或私訊我傳給你！
https://holafly.sjv.io/dOoZby
邦粉的5%折扣碼：ELEPHANTGOGO",83.0,,2025-01-12 20:10:59+08:00,2025-02-17 09:35:04+08:00,DEuZVhru6gD,Yes,Instaloader
2025-01-15 13:13:20+00:00,2025-06-20 15:27:36+00:00,小象愛出門,elephant_gogo,2020258771878664,2020258771878664,25,4809.0,246455.0,"110天極限之旅｜第23站 秘魯十大必去🇵🇪

2018年跟2024年都來了了秘魯
不得不說秘魯真的是豐富不得了有超好玩的國家
如果你真的要來南美洲！一定要來秘魯

🌟 必去必做推推

1.  體驗穿上黃色衣服慶新年！
吃上十二顆葡萄來許願
拖行李逛大街代表未來一路平安！
最後一起在廣場倒數迎接2025

2. Ica沙漠、綠洲、納斯卡線都一定要去！
3. 許多可愛的印加人！有機會也可以體驗他們的傳統服裝
4. 找一隻草泥馬一起拍照（要付錢）
5. 終於入住最恐怖的懸崖飯店！！
6. 全南美第一間酒莊！紅酒白酒喝到爆
7. 講到酒怎麼能錯過 pisco sour
8. 可愛的天竺鼠！！然後吃掉他哈哈哈
9. 前往亞馬遜森林，體驗神秘的死藤水
10. 來去走印加古道！爬上知名的馬丘比丘

有很多畫面是我六年前來拍的😎😎",86.35,,2025-01-15 21:13:20+08:00,2025-06-20 23:27:36+08:00,DE2OeNxPPuF,Yes,Instaloader
