creation_time,modified_time,post_owner.name,post_owner.username,id,media_id,statistics.comment_count,statistics.like_count,statistics.views,text,duration,tags,creation_time_tw,modified_time_tw,short_code,is_file_exist,DownloadTool
2025-01-01 12:59:31+00:00,2025-02-11 23:22:35+00:00,Peter Su,peter825,1433279848506189,1433279848506189,25,3317.0,187496.0,"嘿，如摯友般的自己，新的一年已經開始，好的壞的終究留作回憶，不要忘了曾答應自己要去的地方📖

2025的第一天，終於可以打開時光曆來紀錄新的一年
有買到這份日曆的朋友，如果也開始用，記得再和我分享嘿🫶🏽❤️

明天晚上會跟大家公布新書的書名喔！！
記得來鎖定，再次祝福大家新年快樂，一切平安！！

#PeterSu #時光曆 @mohftd",10.59,,2025-01-01 20:59:31+08:00,2025-02-12 07:22:35+08:00,,Yes,MetaTool
2025-01-20 13:34:04+00:00,2025-05-01 22:19:09+00:00,Peter Su,peter825,1222025166564550,1222025166564550,54,3419.0,180602.0,"「我們每個人都有破碎的地方，但那正是光得以滲進來的方式。」

這句話來自新書的一段對白，在寫下文字之前，腦海裡先有了畫面，所以特別拍了這支影片，希望將無形的感受化為可見。

我一直很喜歡冬天，尤其是下雪後的清晨，每當吸入乾冷的空氣，常常讓人感到一股平靜，像記憶中的氣味，漂浮於無形，卻能輕而易舉地觸動我們內心深處。像白色的氣球，輕盈卻真實地存在，像無色的風，勾勒出那些埋藏在回憶中的片段，柔軟而脆弱，卻因為不完美而愈加動人。

這也正是 @guerlain 白日旖夢藝術沙龍香氛的迷人之處——它像一場隱喻於香氣中的對話。以蜜桃的圓潤甜美開場，緩緩過渡到皮革與檀香的深邃餘韻。前調的果香，是那些記憶中鮮活的笑聲；而尾調的溫暖琥珀，則像將歲月磨礪後的沉靜情感，層層包裹其中。香氣輕觸肌膚，彷彿提醒我們，那些看似脆弱的瞬間，正是情感最深邃之處，也是我們生命最動人的注解。

這次來北海道拍攝，在一片銀白色的世界裡，希望能呈現那份將無形化為可見的情感，讓隱藏在心底的故事得以再次流淌，柔軟卻有力地提醒我們，記憶的價值，正在於它的真實與永恆。

#PeterSu
#全新白日旖夢淡香精
#藝術沙龍高訂香氛系列 
#Guerlaintw #LArtetLaMatière #Guerlain",56.4,{'0': '1266163157388513'},2025-01-20 21:34:04+08:00,2025-05-02 06:19:09+08:00,,Yes,MetaTool
2025-02-25 13:41:49+00:00,2025-02-27 10:31:54+00:00,Peter Su,peter825,1306441581322539,1306441581322539,23,4229.0,186304.0,"不知不覺，寫作已經陪伴我走過十一年。每次落筆，不只是文字的堆疊，更像是一場與自己的對話，透過拆解、重組，讓那些內在的情緒有了出口，也讓思緒變得更加清晰。

曾經有讀者問我：「該如何找到自己的答案？」這問題總讓我思考很久，或許答案並非固定，而是在我們成長的過程中，不斷變化、流動。與其執著於尋找一個「正確」的答案，不如先回到最根本的問題：「我們的生命力，是否足夠充沛？」

分享紀錄片《史塔茲的療癒之道 Stutz》裡有個概念讓我印象深刻：當我們失去方向時，不要急著找出該做的事，而是應該先激發自己的「生命力」。
導演 Johan Hill 在片中與心理治療師 Stutz 討論到，生命力就像一座金字塔，由三個層次構成：身體、關係、內在。當我們能夠照顧好身體、建立健康的人際關係，最終才能真正與內在對話，找到自己的方向。

而對我來說，寫作就是與內在建立連結的方式。當思緒混亂、情緒堆積時，把它們寫下來，像是在整理一個擁擠的房間，讓每件事物找到它的位置。這不只是記錄，更是一種梳理與釐清，幫助我們回到最真實的自己。

在這個過程中，寫作的體驗不該被卡頓或干擾，好的工具能讓這份流暢感得以延續。Logi MX Keys Mini 鍵盤的靈敏敲擊回饋，讓思緒隨指尖流動，而Smart Actions 則能一鍵進入自定義創作模式，讓寫作的靈感不被中斷，MX Anywhere 3S 行動滑鼠小巧靈活，不論在哪裡，都能輕鬆應對各種工作環境。當工具不再是阻礙，思緒便能自由馳騁，讓寫作真正成為一種療癒。

或許，所謂的「答案」從來不是我們需要去尋找的東西，而是透過感受生命、整理思緒，讓自己擁有足夠的生命力，去迎接每一次改變與成長。

最後再分享一個好消息✨
即日起購買 Logitech 指定商務品滿$ 3,000 即贈女子證件套，
參加 #參與女子桌面挑戰賽 分享妳的品味桌面活動，還有機會獲得萬元禮金。

用對的工具打造個人風格的品味桌面，不僅提升效率與靈感，更能整理思緒，讓創作與工作更加順暢。

#PeterSu
#logitechtw
#logi女子節
#logi女子品味生活",43.88,,2025-02-25 21:41:49+08:00,2025-02-27 18:31:54+08:00,,Yes,MetaTool
2025-03-11 16:59:23+00:00,2025-03-11 17:09:58+00:00,Peter Su,peter825,1217520670448854,1217520670448854,211,4429.0,209663.0,"當年還在網路上翻閱香奈兒歷年大秀的片段時，總覺得每一場都是一場夢——2016 年古巴解封時，香奈兒將度假系列帶進哈瓦那的街頭；2017 年，火箭緩緩升起於大皇宮；2019 年，巴黎的室內秀場竟變成了一座陽光灑落的海灘。而最讓我難忘的，依然是麗茲酒店那場 Métiers d’art 工坊大秀，模特兒們穿梭在賓客之間，靈動幽默，卻不失香奈兒的優雅風範。

對我而言，欣賞香奈兒的大秀，從來不只是服裝本身。每一季的創作核心、秀場選址、空間設計與氛圍營造，都成為創作靈感的養分。那些跨越媒材、超越想像的藝術結合，總讓我思考，如何在自己的作品裡，也創造出這樣的驚喜與碰撞。

這次，竟已是第三次親臨香奈兒大秀的現場，依然覺得不可思議！於是決定來一場「即拍即剪」——跟著我，一起直擊 2025/26 秋冬高級時裝系列大秀的 Vlog，希望帶大家看見最真實的大秀記錄（還有混亂與忙碌的一面）😂

這場秀，是現實與幻想交錯的詩意空間，今天在巴黎大皇宮裡，一個巨型的緞帶蜿蜒場內，像引領我們步入一場流動的夢境。

明天再來和大家細細分享，從場地設計到服裝細節，帶你一起走進這場充滿詩意的時裝敘事。

敬請期待！

#PeterSu
#CHANELFallWinter #CHANELShow
@chanelofficial",226.17,{'0': '1623777251482172'},2025-03-12 00:59:23+08:00,2025-03-12 01:09:58+08:00,,Yes,MetaTool
2025-03-31 06:17:28+00:00,2025-03-31 13:07:34+00:00,Peter Su,peter825,1657210758796162,1657210758796162,204,4182.0,239930.0,"2025年三個月過去了，是什麼事物陪著你走過了一些日子？

我的首支開箱影片來了！！想和你們分享這顆我最近遇上的愛包✨

去年十月第一次在香奈兒大秀上看到 CHANEL 25，那時就對它一見鍾情。

尤其是這款黑色單寧材質，背起來真的很自在、率性，經典的菱格紋和皮穿鍊肩帶又多了一點優雅的味道。

它的輕盈感、大容量還有那個超實用的多口袋設計，完全就是我心中理想的日常包。

裝得下書、筆記本、相機、太陽眼鏡，各種應付我外出所需的物件！

好期待今年帶著它，去完成每一段新的旅程。

也想問你們，今年，有什麼是一直陪著你的「日常小物」呢？

Thank you @chanelofficial

#PeterSu #Chanel25",89.91,,2025-03-31 14:17:28+08:00,2025-03-31 21:07:34+08:00,,Yes,MetaTool
2025-04-10 04:00:09+00:00,2025-04-10 12:00:14+00:00,Peter Su,peter825,1633594254306305,1633594254306305,35,3527.0,127069.0,"One slow day in Penang with my 25 bag
我的檳城一日慢生活之旅 ☀️🥐

#CHANEL25 @chanelofficial",7.97,,2025-04-10 12:00:09+08:00,2025-04-10 20:00:14+08:00,,Yes,MetaTool
2025-04-27 13:31:50+00:00,2025-04-27 14:11:55+00:00,Peter Su,peter825,904611452494951,904611452494951,26,2280.0,169191.0,"快節奏的生活裡，不要忘了好好整理自己。

再忙，也不能隨便打發自己。整理好頭髮，就是我給自己的一點儀式感，髮型對了，心情也會先對一半。

之前在限動有跟大家分享過，今天終於要來正式開箱我的第一支 Dyson 吹風機，Dyson Supersonic r 精準造型輕量吹風機，也就是傳說中的「水管吹風機」

這支 Dyson 讓我最驚豔的地方，不只是外型，而是它對細節的設計。像是從濕髮開始就能直接吹整，還有多款吹嘴可以快速替換，不管是要吹蓬鬆、順髮，或是想抓出線條感，它都能快速搞定。連平時最難整理的後腦勺，吹整起來也完全不費力

這支在時裝周、奧斯卡後台都能見到的吹風機，現在終於在台灣上市了，超級值得期待

希望你們也會喜歡這次的開箱影片🙌🏽🥰

#PeterSu @dysonbeauty 
#styledwithr #dysonbeauty #supersonicr
#dyson精準造型輕量吹風機
#水管吹風機",156.15,{'0': '483656284126706'},2025-04-27 21:31:50+08:00,2025-04-27 22:11:55+08:00,,Yes,MetaTool
2025-05-25 14:03:54+00:00,2025-05-25 16:04:01+00:00,Peter Su,peter825,1982845125947759,1982845125947759,152,2431.0,124836.0,"如果可以打電話給十年後的自己
你會說些什麼？

上個月東京旅行的途中，我默默想了這個問題
搭電車時、走進小巷時、在街角咖啡店坐下的時候

我帶著 CHANEL 25 一起旅行
它像是一個時間的載體，簡約、俐落，也有一種安靜的存在感
很適合陪我一起思考「未來的我會變成什麽樣子」

我想對那個十年後的自己說
希望你還是願意相信直覺
還是會在陌生城市感動
還記得那些平凡日子裡的小確幸

最重要的是
不管你現在在哪裡，都别忘了
要走得自由，穿得自在，也要愛得毫不將就
因為，現在的我，正努力往那裡走著

希望大家會喜歡這次的影片
嘗試了一些新的剪輯方式
感謝莫陪我穿梭在東京街頭
紀錄了很多喜歡的片刻

#PeterSu
#CHANELCocoBeachCollection
#CHANEL25 @chanelofficial",61.1,{'0': '1623777251482172'},2025-05-25 22:03:54+08:00,2025-05-26 00:04:01+08:00,,Yes,MetaTool
2025-05-30 14:02:10+00:00,2025-05-31 00:02:16+00:00,Peter Su,peter825,747475598420315,747475598420315,30,7206.0,216079.0,"新書裡寫給自己的幾句話：

情緒寶貴，不要浪費。
生而為人，善惡同生。
勇敢結束的人，生活會獎勵一場新的開始。
比起輸贏，來日方長。
你只有一個使命，堅定地走向自我。
不要對他人有所期待，那是一種微妙的勒索。
有人討厭你，那是他的問題。
有些人認識了就好，無需深交。
不願意交往的人，你就別費心了。
接受事實，為自己的錯誤買單。

這個連假有去到書店的朋友
可以翻翻這次的新書 #想哭就哭吧你不需要那麼懂事

#PeterSu @mohftd",26.59,,2025-05-30 22:02:10+08:00,2025-05-31 08:02:16+08:00,,Yes,MetaTool
2025-06-22 13:31:39+00:00,2025-07-12 15:49:24+00:00,Peter Su,peter825,2042205613844584,2042205613844584,191,1663.0,122690.0,"我以為我在追求旅途中的夢想，
但會不會⋯是這些事物塑造了我？

或許時間從來不該被量度，它只該被感受，
活成自己最愛的樣子🖤

大家還記得前兩個月我到東京旅行，當時其實也拍攝了這部關於香奈兒 2024/25 Métiers d’art 工坊系列的影片，想好這次的腳本之後，我和莫兩個人就這樣隨性地在庭園和光影之間來回思索，捕捉最真實的模樣

我也為這部影片寫下了一段關於時間和旅行的感受，一種很個人的思考：
時間，真的是一條往前流動的軸線嗎？
還是它像湖面的漣漪，一圈一圈，把我們推往下一段旅程？
如果說時間其實並不是在流逝，而是正在成形呢？

而我們以為自己一路上追尋著夢想，但會不會⋯是那些夢想塑造了我們。

這次的系列服飾由 le19M 工坊呈現，並向夢想和旅行致敬，每一道刺繡與剪裁都像記憶的細節，把現實與想像縫合在一起，城市是背景，而夢就是起點，穿上它們，就像穿越了幾個時區，也穿越了幾段關於自己的故事，像一趟現實與想像中的旅行，也是我這次影片想呈現自己在旅途中思考現在與未來的那種對話情境

我在剪輯影片和錄製口白的時候，就試著剪出一種莫名的衝突感，也是我第一次嘗試這樣的風格😆

希望你們也能在這段影像裡，找到屬於自己心裡的「遠方」。

#PeterSu
#CHANELMetiersdArt​
@chanelofficial",42.6,{'0': '1623777251482172'},2025-06-22 21:31:39+08:00,2025-07-12 23:49:24+08:00,,Yes,MetaTool
